"","Modelo","overall_accuracy","overall_error","Factor_0_Accuracy","Factor_1_Accuracy","Factor_2_Accuracy","Factor_3_Accuracy","Detalle_1","experimento","grupo","dataset"
"resumen_metricas.124","modelo_arboles - information",0.84,0.16,0.99,0.67021,0.76471,0.92308,"minsplit=2",1,3,"moviles131"
"resumen_metricas34","modelo_arboles - Gini",0.835,0.165,0.91089,0.80357,0.70526,0.92391,"minsplit=2",1,4,"moviles131"
"resumen_metricas.134","modelo_arboles - information",0.8175,0.1825,0.91089,0.74107,0.73684,0.8913,"minsplit=2",1,4,"moviles131"
"resumen_metricas44","modelo_arboles - Gini",0.785,0.215,0.92233,0.71134,0.65138,0.86813,"minsplit=2",1,5,"moviles131"
"resumen_metricas.144","modelo_arboles - information",0.7875,0.2125,0.90291,0.69072,0.72477,0.83516,"minsplit=2",1,5,"moviles131"
"resumen_metricas54","modelo_arboles - Gini",0.7925,0.2075,0.88679,0.7957,0.67391,0.79817,"minsplit=2",2,1,"moviles131"
"resumen_metricas.154","modelo_arboles - information",0.805,0.195,0.91509,0.76344,0.67391,0.84404,"minsplit=2",2,1,"moviles131"
"resumen_metricas64","modelo_arboles - Gini",0.8125,0.1875,0.9717,0.67677,0.73786,0.8587,"minsplit=2",2,2,"moviles131"
"resumen_metricas.164","modelo_arboles - information",0.81,0.19,0.95283,0.62626,0.79612,0.8587,"minsplit=2",2,2,"moviles131"
"resumen_metricas74","modelo_arboles - Gini",0.7925,0.2075,0.91011,0.75455,0.73529,0.78788,"minsplit=2",2,3,"moviles131"
"resumen_metricas.174","modelo_arboles - information",0.7925,0.2075,0.92135,0.71818,0.71569,0.83838,"minsplit=2",2,3,"moviles131"
"resumen_metricas84","modelo_arboles - Gini",0.7775,0.2225,0.92857,0.62105,0.6875,0.88991,"minsplit=2",2,4,"moviles131"
"resumen_metricas.184","modelo_arboles - information",0.79,0.21,0.92857,0.64211,0.71429,0.88991,"minsplit=2",2,4,"moviles131"
"resumen_metricas94","modelo_arboles - Gini",0.795,0.205,0.94783,0.79612,0.58242,0.81319,"minsplit=2",2,5,"moviles131"
"resumen_metricas.194","modelo_arboles - information",0.7925,0.2075,0.94783,0.79612,0.48352,0.9011,"minsplit=2",2,5,"moviles131"
"resumen_metricas104","modelo_arboles - Gini",0.8,0.2,0.94286,0.72449,0.71579,0.80392,"minsplit=2",3,1,"moviles131"
"resumen_metricas.1104","modelo_arboles - information",0.805,0.195,0.94286,0.67347,0.73684,0.85294,"minsplit=2",3,1,"moviles131"
"resumen_metricas115","modelo_arboles - Gini",0.8075,0.1925,0.9633,0.68687,0.69663,0.85437,"minsplit=2",3,2,"moviles131"
"resumen_metricas.1115","modelo_arboles - information",0.8175,0.1825,0.97248,0.62626,0.8427,0.81553,"minsplit=2",3,2,"moviles131"
"resumen_metricas124","modelo_arboles - Gini",0.7975,0.2025,0.90654,0.72043,0.66355,0.90323,"minsplit=2",3,3,"moviles131"
"resumen_metricas.1124","modelo_arboles - information",0.8075,0.1925,0.91589,0.73118,0.65421,0.93548,"minsplit=2",3,3,"moviles131"
"resumen_metricas134","modelo_arboles - Gini",0.805,0.195,0.94118,0.75926,0.69159,0.84337,"minsplit=2",3,4,"moviles131"
"resumen_metricas.1134","modelo_arboles - information",0.785,0.215,0.95098,0.62037,0.74766,0.84337,"minsplit=2",3,4,"moviles131"
"resumen_metricas144","modelo_arboles - Gini",0.7675,0.2325,0.94805,0.58824,0.76471,0.80672,"minsplit=2",3,5,"moviles131"
"resumen_metricas.1144","modelo_arboles - information",0.7875,0.2125,0.98701,0.60784,0.68627,0.89916,"minsplit=2",3,5,"moviles131"
"resumen_metricas25","modelo_arboles - Gini",0.7925,0.2075,0.95,0.67708,0.67521,0.89655,"minsplit=2",1,1,"moviles132"
"resumen_metricas.125","modelo_arboles - information",0.7825,0.2175,0.95,0.625,0.68376,0.89655,"minsplit=2",1,1,"moviles132"
"resumen_metricas116","modelo_arboles - Gini",0.79,0.21,0.96581,0.63889,0.81395,0.7191,"minsplit=2",1,2,"moviles132"
"resumen_metricas.1116","modelo_arboles - information",0.8075,0.1925,0.96581,0.61111,0.83721,0.80899,"minsplit=2",1,2,"moviles132"
"resumen_metricas26","modelo_arboles - Gini",0.7925,0.2075,0.97778,0.7449,0.57609,0.85833,"minsplit=2",1,3,"moviles132"
"resumen_metricas.126","modelo_arboles - information",0.7925,0.2075,0.97778,0.73469,0.58696,0.85833,"minsplit=2",1,3,"moviles132"
"resumen_metricas35","modelo_arboles - Gini",0.7825,0.2175,0.92473,0.66667,0.72,0.82407,"minsplit=2",1,4,"moviles132"
"resumen_metricas.135","modelo_arboles - information",0.7875,0.2125,0.92473,0.65657,0.74,0.83333,"minsplit=2",1,4,"moviles132"
"resumen_metricas45","modelo_arboles - Gini",0.79,0.21,0.88,0.72727,0.68571,0.875,"minsplit=2",1,5,"moviles132"
"resumen_metricas.145","modelo_arboles - information",0.77,0.23,0.92,0.65657,0.59048,0.92708,"minsplit=2",1,5,"moviles132"
"resumen_metricas55","modelo_arboles - Gini",0.84,0.16,0.93,0.78431,0.72826,0.90566,"minsplit=2",2,1,"moviles132"
"resumen_metricas.155","modelo_arboles - information",0.835,0.165,0.96,0.80392,0.70652,0.85849,"minsplit=2",2,1,"moviles132"
"resumen_metricas65","modelo_arboles - Gini",0.81,0.19,0.91429,0.71111,0.7757,0.82653,"minsplit=2",2,2,"moviles132"
"resumen_metricas.165","modelo_arboles - information",0.815,0.185,0.91429,0.65556,0.78505,0.88776,"minsplit=2",2,2,"moviles132"
"resumen_metricas75","modelo_arboles - Gini",0.7925,0.2075,0.96939,0.73864,0.70755,0.75926,"minsplit=2",2,3,"moviles132"
"resumen_metricas.175","modelo_arboles - information",0.79,0.21,0.96939,0.71591,0.71698,0.75926,"minsplit=2",2,3,"moviles132"
"resumen_metricas85","modelo_arboles - Gini",0.7425,0.2575,0.95918,0.60748,0.61386,0.80851,"minsplit=2",2,4,"moviles132"
"resumen_metricas.185","modelo_arboles - information",0.7425,0.2575,0.95918,0.5514,0.67327,0.80851,"minsplit=2",2,4,"moviles132"
"resumen_metricas95","modelo_arboles - Gini",0.8025,0.1975,0.91919,0.70796,0.70213,0.89362,"minsplit=2",2,5,"moviles132"
"resumen_metricas.195","modelo_arboles - information",0.8125,0.1875,0.91919,0.69027,0.78723,0.87234,"minsplit=2",2,5,"moviles132"
"resumen_metricas105","modelo_arboles - Gini",0.79,0.21,0.89011,0.7732,0.61468,0.90291,"minsplit=2",3,1,"moviles132"
"resumen_metricas.1105","modelo_arboles - information",0.8,0.2,0.92308,0.70103,0.73394,0.85437,"minsplit=2",3,1,"moviles132"
"resumen_metricas117","modelo_arboles - Gini",0.7625,0.2375,0.91667,0.62376,0.60185,0.93684,"minsplit=2",3,2,"moviles132"
"resumen_metricas.1117","modelo_arboles - information",0.7675,0.2325,0.9375,0.57426,0.67593,0.90526,"minsplit=2",3,2,"moviles132"
"resumen_metricas125","modelo_arboles - Gini",0.8025,0.1975,0.94175,0.74038,0.77419,0.75,"minsplit=2",3,3,"moviles132"
"resumen_metricas.1125","modelo_arboles - information",0.805,0.195,0.94175,0.69231,0.75269,0.83,"minsplit=2",3,3,"moviles132"
"resumen_metricas135","modelo_arboles - Gini",0.8125,0.1875,0.92857,0.78125,0.58696,0.92,"minsplit=2",3,4,"moviles132"
"resumen_metricas.1135","modelo_arboles - information",0.825,0.175,0.95536,0.76042,0.69565,0.86,"minsplit=2",3,4,"moviles132"
"resumen_metricas145","modelo_arboles - Gini",0.8125,0.1875,0.96939,0.71569,0.71429,0.85294,"minsplit=2",3,5,"moviles132"
"resumen_metricas.1145","modelo_arboles - information",0.795,0.205,0.96939,0.56863,0.86735,0.78431,"minsplit=2",3,5,"moviles132"
"resumen_metricas27","modelo_arboles - Gini",0.78535,0.21465,0.91837,0.64762,0.81373,0.76923,"minsplit=2",1,1,"moviles211"
"resumen_metricas.127","modelo_arboles - information",0.75758,0.24242,0.88776,0.61905,0.70588,0.83516,"minsplit=2",1,1,"moviles211"
"resumen_metricas118","modelo_arboles - Gini",0.83081,0.16919,0.93684,0.81,0.78261,0.79817,"minsplit=2",1,2,"moviles211"
"resumen_metricas.1118","modelo_arboles - information",0.84343,0.15657,0.93684,0.79,0.83696,0.81651,"minsplit=2",1,2,"moviles211"
"resumen_metricas28","modelo_arboles - Gini",0.77525,0.22475,0.93103,0.66,0.70213,0.77907,"minsplit=2",1,3,"moviles211"
"resumen_metricas.128","modelo_arboles - information",0.77778,0.22222,0.93966,0.61,0.70213,0.83721,"minsplit=2",1,3,"moviles211"
"resumen_metricas36","modelo_arboles - Gini",0.7803,0.2197,0.92453,0.67647,0.62366,0.88421,"minsplit=2",1,4,"moviles211"
"resumen_metricas.136","modelo_arboles - information",0.77778,0.22222,0.92453,0.63725,0.6129,0.92632,"minsplit=2",1,4,"moviles211"
"resumen_metricas46","modelo_arboles - Gini",0.7904,0.2096,0.96296,0.68182,0.73043,0.8125,"minsplit=2",1,5,"moviles211"
